User_ID,True_Label,Pred_Label,Is_Correct,Confidence
user_001152b0,9,17,Wrong,0.4244
user_0038e226,8,8,Correct,0.2665
user_008791f5,5,7,Wrong,0.0946
user_00a95768,9,12,Wrong,0.1328
user_00afb090,24,25,Wrong,0.3007
user_00b5310f,4,26,Wrong,0.3710
user_00d789e9,16,14,Wrong,0.2707
user_00e2d727,28,28,Correct,0.5498
user_012b2595,0,2,Wrong,0.2753
user_0147e8d3,26,27,Wrong,0.1360
user_018d51b1,4,4,Correct,0.5464
user_01e60d92,4,1,Wrong,0.1915
user_01ea2233,7,7,Correct,0.4142
user_02017000,31,31,Correct,0.3182
user_023b236d,15,15,Correct,0.9582
user_0244a57d,19,16,Wrong,0.7408
user_02610fd8,25,29,Wrong,0.2072
user_02d08494,16,16,Correct,0.4648
user_0303bbc5,24,29,Wrong,0.3186
user_034ca407,27,26,Wrong,0.1460
user_0359f17f,5,0,Wrong,0.0973
user_0371266a,25,25,Correct,0.4335
user_0382fe49,5,5,Correct,0.5493
user_03a3892f,11,14,Wrong,0.0914
user_03b8fb7a,27,27,Correct,0.1922
user_041e2cc5,22,22,Correct,0.6869
user_045d595e,27,29,Wrong,0.1326
user_04762f1f,15,12,Wrong,0.1692
user_047fe217,29,27,Wrong,0.2562
user_04832ac1,24,25,Wrong,0.2521
user_048a2452,23,23,Correct,0.1161
user_052ef72f,21,23,Wrong,0.5663
user_0555ab22,20,19,Wrong,0.7477
user_056a2eb2,21,21,Correct,0.4125
user_057f1471,22,14,Wrong,0.1504
user_057fd72b,1,1,Correct,0.7092
user_059e3e4b,30,21,Wrong,0.1238
user_05be37b9,29,29,Correct,0.2106
user_0601c48e,24,21,Wrong,0.2108
user_060389a4,21,27,Wrong,0.2200
user_063f4205,27,17,Wrong,0.4492
user_064843fa,14,14,Correct,0.4906
user_06745f99,30,30,Correct,0.6034
user_067bc0d1,28,28,Correct,0.6511
user_068a42d7,26,26,Correct,0.3335
user_069731e5,19,19,Correct,0.9472
user_069f004b,27,29,Wrong,0.1900
user_06b84691,1,20,Wrong,0.3625
user_07321115,20,20,Correct,0.9296
user_0773b183,24,25,Wrong,0.3594
user_07dfb7cf,22,22,Correct,0.9416
user_07e42d14,8,8,Correct,0.1604
